BoxOffice,DVD,Production,Website,actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,type,writer,year
N/A,1-Jan-98,MGM,N/A,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",Won 1 Oscar. Another 8 wins & 15 nominations.,"USA, UK","Charles Crichton, John Cleese","Comedy, Crime",tt0095159,7.6,"100,693","English, Italian, Russian",80,"Sexy American diamonds lover Wanda and her boyfriend Otto are in England to plot alongside George and Ken the robbery of a diamond collection. Wanda and Otto want the stolen diamonds for themselves, and inform the police about George not knowing that he has already moved the diamonds to another secret place. Wanda thinks the best way to find out is by getting close to George's lawyer - Archie Leach.",http://ia.media-imdb.com/images/M/MV5BMjE5OTIzODI4Nl5BMl5BanBnXkFtZTcwNDg3NzYzNA@@._V1_SX300.jpg,R,5-Aug-88,108 min,A Fish Called Wanda,"Smartly written, smoothly directed, and solidly cast, A Fish Called Wanda offers a classic example of a brainy comedy with widespread appeal.",55,certified,93,8,59,4,85,3.4,180293,movie,"John Cleese (story), Charles Crichton (story), John Cleese",1988
N/A,20-Jun-00,N/A,N/A,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin",5 nominations.,USA,Kevin Lima,"Animation, Adventure, Comedy",tt0113198,6.8,"30,470",English,N/A,"It's the last day of school, and Max wants to catch the eye of Roxanne, one of the more attractive girls in school. But how can you be cool when your dad's Goofy? Stage an impromptu concert at the final assembly, that's how! Or at least it sounded good until Principal Mazer found out. Goofy finds out about his son's antics (sort of), and decides a fishing trip, like his dad took him on, is the solution. Of course, he doesn't know that Max finally lands a date with Roxanne for a party thrown by the class valedictorian. Through the movie, Goofy tries to bring Max out of his shell, while Max resents being taken away, and lying to Roxanne about the trip (he tells her he & his dad will be appearing on TV at the PowerLine concert in LA). Will Max sink or swim? Will Goofy goof up his son's first shot at romance? Will Bigfoot step back? And what about those nuns?",http://ia.media-imdb.com/images/M/MV5BMTI0MjgzMjQ5Nl5BMl5BanBnXkFtZTcwNjg1NjMyMQ@@._V1_SX300.jpg,G,7-Apr-95,78 min,A Goofy Movie,N/A,8,rotten,53,5.6,15,7,70,3.1,357344,movie,"Jymn Magon (story), Jymn Magon (screenplay), Chris Matheson (screenplay), Brian Pimental (screenplay), Brian Pimental (story), Curtis Armstrong (additional written material), John Doolittle (additional written material)",1995
$42.6M,7-Oct-14,Universal Pictures,N/A,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson",6 nominations.,USA,Seth MacFarlane,"Comedy, Western",tt2557490,6.1,"106,745","English, Navajo, Mandarin",44,"Set in 1882 in the American west, Albert is a lowly farmer with a nice girlfriend. But when she leaves him for the more successful and handsome owner of a moustachery store, Albert returns to his lonely daily life of trying to avoid death. Then the mysterious Anna rides into town and captures Albert's interest and heart, but with her deadly husband in town, Albert is going to have to become the western gun-slinging hero he never was. It won't be easy because there are a million ways to die in the west.",http://ia.media-imdb.com/images/M/MV5BMTQ0NDcyNjg0MV5BMl5BanBnXkFtZTgwMzk4NTA4MTE@._V1_SX300.jpg,R,30-May-14,116 min,A Million Ways to Die in the West,"While it offers a few laughs and boasts a talented cast, Seth MacFarlane's overlong, aimless A Million Ways to Die in the West is a disappointingly scattershot affair.",62,rotten,33,4.9,188,126,41,3,61985,movie,"Seth MacFarlane, Alec Sulkin, Wellesley Wild",2014
$9.1M,6-Jul-10,The Weinstein Company,http://www.asingleman-movie.com/,"Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode",Nominated for 1 Oscar. Another 39 wins & 39 nominations.,USA,Tom Ford,Drama,tt1315981,7.6,"74,965","English, Spanish",77,"It's November 30, 1962. Native Brit George Falconer, an English professor at a Los Angeles area college, is finding it difficult to cope with life. Jim, his personal partner of sixteen years, died in a car accident eight months earlier when he was visiting with family. Jim's family were not going to tell George of the death or accident, let alone allow him to attend the funeral. This day, George has decided to get his affairs in order before he will commit suicide that evening. As he routinely and fastidiously prepares for the suicide and post suicide, George reminisces about his life with Jim. But George spends this day with various people, who see a man sadder than usual and who affect his own thoughts about what he is going to do. Those people include Carlos, a Spanish immigrant/aspiring actor/gigolo recently arrived in Los Angeles; Charley, his best friend who he knew from England, she who is a drama queen of a woman who romantically desires her best friend despite his sexual orientation; and Kenny Potter, one of his students, who seems to be curious about his professor beyond English class.",http://ia.media-imdb.com/images/M/MV5BMzU5MTk4MjQ2M15BMl5BanBnXkFtZTcwNDU0MzEwMw@@._V1_SX300.jpg,R,17-Dec-09,99 min,A Single Man,"Though the costumes are beautiful and the art direction impeccable, what stands out most from this debut by fashion designer Tom Ford is the leading performance by Colin Firth.",152,certified,85,7.3,178,26,81,3.8,56589,movie,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)",2009
$130.1M,19-Feb-08,Universal Pictures,http://www.americangangster.net,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",Nominated for 2 Oscars. Another 12 wins & 31 nominations.,"USA, UK",Ridley Scott,"Biography, Crime, Drama",tt0765429,7.8,"299,333",English,76,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. As a result, his product is superior to what is currently available on the street and his prices are lower. His alliance with the New York Mafia ensures his position. It is also the story of a dedicated and honest policeman, Richie Roberts, who heads up a joint narcotics task force with the Federal government. Based on a true story.",http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX300.jpg,R,2-Nov-07,157 min,American Gangster,"American Gangster is a gritty and entertaining throwback to classic gangster films, with its lead performers firing on all cylinders.",167,certified,80,7,209,42,87,4,960871,movie,"Steven Zaillian, Mark Jacobson (article)",2007
N/A,21-Dec-99,Universal Pictures,http://www.universalpictures.com/americanpie,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan",9 wins & 14 nominations.,USA,"Paul Weitz, Chris Weitz","Comedy, Romance",tt0163651,7,"287,038",English,58,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always end up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? or will they learn something much different.",http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,R,9-Jul-99,95 min,American Pie,"So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre.",75,fresh,61,5.8,123,48,60,3.4,33778696,movie,Adam Herz,1999
N/A,4-Jun-09,N/A,N/A,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",4 nominations.,India,Rajkumar Santoshi,"Comedy, Family, Romance",tt0109117,8.8,"22,455",Hindi,N/A,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family.",http://ia.media-imdb.com/images/M/MV5BMTM2MjM1MTgyMV5BMl5BanBnXkFtZTcwNTMzMzUyMQ@@._V1_SX300.jpg,PG,4-Nov-94,160 min,Andaz Apna Apna,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,4.5,8504,movie,"Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story), Dilip Shukla (dialogue)",1994
$12.8M,19-Feb-13,Focus Features,http://focusfeatures.com/anna_karenina,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey",Won 1 Oscar. Another 25 wins & 47 nominations.,UK,Joe Wright,"Drama, Romance",tt1781769,6.6,"59,817",English,63,"In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate.",http://ia.media-imdb.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,R,7-Sep-12,129 min,Anna Karenina,"Joe Wright's energetic adaptation of Tolstoy's classic romance is a bold, visually stylized work -- for both better and worse.",111,fresh,63,6.5,177,66,50,3.2,51551,movie,"Tom Stoppard (screenplay), Leo Tolstoy (novel)",2012
N/A,20-Jan-04,Cannon Home Video,N/A,"Gordon Pinsent, Elizabeth Hanna, Lisa Jai, Marsha Moreau",3 nominations.,"Canada, France",Alan Bunce,"Animation, Adventure, Family",tt0096869,6.2,627,"English, French",N/A,"In his spectacular film debut, young Babar, King of the Elephants, must save his homeland from certain destruction by Rataxes and his band of invading rhinos.",http://ia.media-imdb.com/images/M/MV5BMTgzMzczODgxNV5BMl5BanBnXkFtZTcwMTM0MTUyMQ@@._V1_SX300.jpg,G,28-Jul-89,70 min,Babar: The Movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,3,6083,movie,"Jean de Brunhoff (characters), Laurent de Brunhoff (characters), Patrick Loubert (story), Peter Sauder (story), Michael Hirsh (story), Peter Sauder (screenplay), J.D. Smith (screenplay), John de Klein (screenplay), Raymond Jafelice (screenplay), Alan Bunce (screenplay)",1989
N/A,N/A,B4U US,N/A,"Amitabh Bachchan, Boman Irani, Parth Bhalerao, Sanjay Mishra",N/A,India,Nitesh Tiwari,"Comedy, Drama, Fantasy",tt3531852,7,"2,755",Hindi,N/A,"Bhoothnath Returns takes Bhoothnath's story forward. As he returns to 'Bhoot World' he is greeted with taunts and condemnation from other ghosts for bringing disrepute to the ghost-community for getting bullied by a kid on Earth. Post the humiliation, Bhoothnath decides to redeem himself and come back to scare a bunch of kids. Bhoothnath's search for kids brings him to Akhrot, a slum kid who is also the only person who can see him. Together they agree to help each other and their friendship sees them get involved in a cause that is bigger than they had ever imagined. To move ahead they will need to take on one of the country's most powerful and corrupt politician Bhau. The Lok Sabha elections are nearing and Bhau's victory is a mere formality, or is it? In a world, where a common man is afraid of politics, will a common man's ghost overcome his fear to stand up for what's right and fight against injustice? Bhoothnath Returns is an entertaining tale of good against evil, weak against powerful, past against future.",http://ia.media-imdb.com/images/M/MV5BMzk1MTMyMjAxMV5BMl5BanBnXkFtZTgwMDA1Mzc0MTE@._V1_SX300.jpg,PG,11-Apr-14,155 min,Bhoothnath Returns,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,3.1,130,movie,"Piyush Gupta, Shreyas Jain (additional script writer), Nikhil Mehrotra (additional script writer), Nitesh Tiwari",2014
$222.5M,24-Feb-15,Walt Disney Pictures,http://www.disney.com/BigHero6,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",Won 1 Oscar. Another 15 wins & 44 nominations.,USA,"Don Hall, Chris Williams","Animation, Action, Adventure",tt2245084,7.9,"164,471",English,74,"From Walt Disney Animation Studios, the team behind &quot;Frozen&quot; and &quot;Wreck-It Ralph,&quot; comes &quot;Big Hero 6,&quot; an action-packed comedy-adventure about the special bond that develops between Baymax, a plus-sized inflatable robot, and prodigy Hiro Hamada. When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called &quot;Big Hero 6.&quot;",http://ia.media-imdb.com/images/M/MV5BMjI4MTIzODU2NV5BMl5BanBnXkFtZTgwMjE0NDAwMjE@._V1_SX300.jpg,PG,7-Nov-14,102 min,Big Hero 6,"Agreeably entertaining and brilliantly animated, Big Hero 6 is briskly-paced, action-packed, and often touching.",166,certified,89,7.4,186,20,92,4.3,116551,movie,"Jordan Roberts (screenplay), Daniel Gerson (screenplay), Robert L. Baird (screenplay), Duncan Rouleau (Big Hero 6 team and characters created by), Steven T. Seagle (Big Hero 6 team and characters created by), Paul Briggs (head of story), Joseph Mateo (head of story)",2014
$107.0M,29-Mar-11,Fox Searchlight,http://www.BlackSwan2010.com/,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 100 wins & 204 nominations.,USA,Darren Aronofsky,"Drama, Mystery, Thriller",tt0947798,8,"486,387","English, French, Italian",79,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.",http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,R,17-Dec-10,108 min,Black Swan,"Bracingly intense, passionate, and wildly melodramatic, Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.",238,certified,87,8.2,274,36,84,4,174256,movie,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010
N/A,N/A,Reliance Entertainment,http://www.facebook.com/BobbyJasoos,"Vidya Balan, Ali Fazal, Mahima A, Abhishek C",N/A,India,Samar Shaikh,"Comedy, Drama, Thriller",tt3359290,5.5,"1,398","Urdu, Hindi",N/A,"Bobby Jasoos starring Vidya Balan, is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad. The film is directed by Samar Shaikh, produced by Dia Mirza and Sahil Sangha under their banner Born Free Entertainment and is presented by Reliance Entertainment. Bobby Jasoos releases on July 4th,2014.",http://ia.media-imdb.com/images/M/MV5BMTA1MzUwNTczODReQTJeQWpwZ15BbWU4MDU5NzkwOTEx._V1_SX300.jpg,12A,4-Jul-14,121 min,Bobby Jasoos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,2.6,179,movie,Sanyukta Shaikh Chawla (screen play & dialogue by),2014
N/A,7-Apr-98,New Line Cinema,N/A,"Luis Guzman, Burt Reynolds, Julianne Moore, Rico Bueno",Nominated for 3 Oscars. Another 36 wins & 38 nominations.,USA,Paul Thomas Anderson,Drama,tt0118749,7.9,"170,091",English,85,"Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting.",http://ia.media-imdb.com/images/M/MV5BMTQxOTExODU2MF5BMl5BanBnXkFtZTcwMzc3MDE1OQ@@._V1_SX300.jpg,R,31-Oct-97,155 min,Boogie Nights,"Grounded in strong characters, bold themes, and subtle storytelling, Boogie Nights is a groundbreaking film both for director P.T. Anderson and star Mark Wahlberg.",60,certified,92,8.1,65,5,89,3.6,186812,movie,Paul Thomas Anderson,1997
N/A,9-Feb-10,Magnolia Pictures,http://www.magnetreleasing.com/bronson/,"Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker",3 wins & 5 nominations.,UK,Nicolas Winding Refn,"Action, Biography, Crime",tt1172570,7.1,"63,816",English,71,"In 1974, a hot-headed 19 year old named Michael Peterson decided he wanted to make a name for himself and so, with a homemade sawn-off shotgun and a head full of dreams he attempted to rob a post office. Swiftly apprehended and originally sentenced to 7 years in jail, Peterson has subsequently been behind bars for 34 years, 30 of which have been spent in solitary confinement. During that time, Michael Petersen, the boy, faded away and 'Charles Bronson,' his superstar alter ego, took center stage. Inside the mind of Bronson - a scathing indictment of celebrity culture.",http://ia.media-imdb.com/images/M/MV5BMTMxOTA2MjA3OV5BMl5BanBnXkFtZTcwODM4Nzc4Mg@@._V1_SX300.jpg,R,13-Mar-09,92 min,Bronson,"Undeniably gripping, Bronson forces the viewer to make some hard decisions about where the line between art and exploitation lies.",59,certified,76,6.6,78,19,74,3.7,15217,movie,"Brock Norman Brock (screenplay), Nicolas Winding Refn (screenplay)",2008
N/A,N/A,N/A,N/A,"Sylvia Hoeks, Raymond Thiry, Birgit Schuurman, Bo Maerten",1 win & 4 nominations.,Netherlands,"Steffen Haars, Flip Van der Kuil",Comedy,tt2947832,6.4,"3,323",Dutch,N/A,"Because of a bad marriage of their parents, two brothers Jules (Daniel Arends) en Max (Tim Haars) made a pact never to get into a relationship with a woman. Therefore, they live a party-life in which they sleep with a different girl every day. However this changes when Jules starts to date Anna (Sylvia Hoeks) and Max falls in love with her. Can their bromance overcome this love triangle. Although the makers of this movie claim this movie is a romcom, it still has the same adolescent humour we are accustomed to with Steffen en Flip.",http://ia.media-imdb.com/images/M/MV5BNzExNzkwMTA4OV5BMl5BanBnXkFtZTgwOTM4MDU3MDE@._V1_SX300.jpg,N/A,5-Dec-13,87 min,Bros Before Hos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,3.1,35,movie,"Steffen Haars, Flip Van der Kuil",2013
$85.1M,30-Mar-04,Buena Vista Pictures,http://disney.go.com/disneypictures/brotherbear/main.html,"Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis",Nominated for 1 Oscar. Another 2 wins & 19 nominations.,USA,"Aaron Blaise, Robert Walker","Animation, Adventure, Family",tt0328880,6.7,"58,518","English, Inuktitut, Croatian, Serbian",48,"Kenai, a man who resents bears after a fight with one kills his older brother, is turned into a bear so he can see life from a different perspective. He is visited by the spirit of his older brother, and is told that, if he wishes to be changed back into a human, he must travel to the place where the lights touch the Earth, in other words, the Northern Lights. Fueled by hope, Kenai sets off on his long journey, and, along the way, encounters a younger bear, Koda, who is a chatterbox and a fun-loving spirit; Koda is trying to find his way back to his home, the Salmon Run, which, coincidentally, is right next to where the lights touch the Earth. Koda and Kenai team up, but are hunted by Kenai's other brother, Denahi, who fears that the bear has killed Kenai as well. Along the way, the two bears meet other friends, including two moose, some rams, and some mammoths, with whom they hitch a ride. However, Kenai discovers that he likes being a bear, and realizes that humans aren't only afraid of bears; through Koda's eyes, the humans are the monsters, with their long spears. With a whole new view on life, Kenai makes a decision that will change his world forever.",http://ia.media-imdb.com/images/M/MV5BOTA2NzM4MjY1NV5BMl5BanBnXkFtZTcwNzkzNzQyMQ@@._V1_SX300.jpg,G,1-Nov-03,85 min,Brother Bear,"Brother Bear is gentle and pleasant if unremarkable Disney fare, with so-so animation and generic plotting.",48,rotten,38,5.5,125,77,65,3.3,187645,movie,"Tab Murphy (screenplay), Lorne Cameron (screenplay), David Hoselton (screenplay), Steve Bencich (screenplay), Ron J. Friedman (screenplay), Stephen J. Anderson (story), Stevie Wermers (story), Kevin Deters (story), Woody Woodman (story), Thom Enriquez (story), Kevin Harkey (story), Broose Johnson (story), John Norton (story), John Puglisi (story), Tim Hodge (additional story), Tom LaBaff (additional story), Ray Shenusay (additional story), Brian Pimental (additional story), Jim Story (additional story), Don Dougherty (additional story), Don Hall (additional story), Samuel Levine (additional story), Aurian Redson (additional story), Chris Williams (additional story), Jeff Hand (additional story material)",2003
$167.0M,13-Mar-07,Sony,http://www.sonypictures.com/movies/casinoroyale/site/,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Won 1 BAFTA Film Award. Another 20 wins & 33 nominations.,"UK, Czech Republic, USA, Germany, Bahamas",Martin Campbell,"Action, Adventure, Thriller",tt0381061,8,"395,512","English, French",81,"James Bond goes on his first ever mission as a 00. Le Chiffre is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe among the terrorist market. The boss of MI6, known simply as M sends Bond, along with Vesper Lynd to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter, Mathis and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe?",http://ia.media-imdb.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,PG-13,17-Nov-06,144 min,Casino Royale,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.",210,certified,95,7.8,222,12,89,3.9,698211,movie,"Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)",2006
N/A,30-Sep-14,Open Road Films,http://www.facebook.com/ChefTheFilm,"Jon Favreau, John Leguizamo, Bobby Cannavale, Emjay Anthony",2 nominations.,USA,Jon Favreau,"Comedy, Drama",tt2883512,7.3,"98,294","English, Spanish",68,"Carl Casper is an acclaimed chef with a family life that seems as decaying as his artistic freedom. Those frustrations boil over into a raucous viral-videoed public confrontation against a restaurant critic who panned his cooking of food that his boss ordered him to make against his instincts. Now with his career ruined, Carl's ex-wife offers an unorthodox solution in Miami: refit an old food truck to offer quality cooking on his own terms. Now with his young son, Percy, and old colleague, Martin, helping, Carl takes a working trip across America with that truck to rediscover his gastronomic passion. With Percy's tech savvy and Martin's enthusiasm, Carl finds that he is creating a traveling sensation on the way home. In doing so, Carl discovers he is serving up more than simply food, but also a deeper connection with his life and his family that is truly delicious in its own way.",http://ia.media-imdb.com/images/M/MV5BMTY5NTYzNTA1M15BMl5BanBnXkFtZTgwODIwODU1MTE@._V1_SX300.jpg,R,30-May-14,114 min,Chef,"Chef's charming cast and sharp, funny script add enough spice to make this feel-good comedy a flavorful -- if familiar -- treat.",146,certified,86,6.8,169,23,85,4,54758,movie,Jon Favreau,2014
N/A,19-Aug-97,Vestron Pictures,N/A,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes",Won 1 Oscar. Another 12 wins & 6 nominations.,USA,Emile Ardolino,"Drama, Music, Romance",tt0092890,6.8,"122,809",English,65,"In 1963, Frances &quot;Baby&quot; Houseman, a sweet daddy's girl, goes with her family to a resort in upstate New York's Catskill Mountains. Baby has grown up in privileged surroundings and all expect her to go on to college, join the Peace Corps and save the world before marrying a doctor, just like her father. Unexpectedly, Baby becomes infatuated with the camp's dance instructor, Johnny Castle, a man whose background is vastly different from her own. Baby lies to her father to get money to pay for an illegal abortion for Johnny's dance partner. She then fills in as Johnny's dance partner and it is as he is teaching her the dance routine that they fall in love. It all comes apart when Johnny's friend falls seriously ill after her abortion and Baby gets her father, who saves the girl's life. He then learns what Baby has been up to, who with and worse - that he funded the illegal abortion. He bans his daughter from any further association with &quot;those people&quot;. In the first deliberately willful action of her life, Baby later sneaks out to see Johnny - ostensibly to apologize for her father's rudeness - and ends up consummating her relationship with Johnny. A jealous fellow vacationer sees Baby sneaking out of Johnny's bungalow the next morning, and in an act of retribution, tells management that he is responsible for a theft the evening before, knowing he would not furnish his real whereabouts.",http://ia.media-imdb.com/images/M/MV5BMTc3MDY3ODQ2OV5BMl5BanBnXkFtZTgwOTQ2NTYxMTE@._V1_SX300.jpg,PG-13,21-Aug-87,100 min,Dirty Dancing,N/A,40,fresh,71,6,56,16,90,3.7,1053477,movie,Eleanor Bergstein,1987
