filename,goodforairplane,BoxOffice,DVD,Production,Website,actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,type,writer,year
A_Fish_Called_Wanda,1,N/A,1-Jan-98,MGM,N/A,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",Won 1 Oscar. Another 8 wins & 15 nominations.,"USA, UK","Charles Crichton, John Cleese","Comedy, Crime",tt0095159,7.6,"100,693","English, Italian, Russian",80,"Sexy American diamonds lover Wanda and her boyfriend Otto are in England to plot alongside George and Ken the robbery of a diamond collection. Wanda and Otto want the stolen diamonds for themselves, and inform the police about George not knowing that he has already moved the diamonds to another secret place. Wanda thinks the best way to find out is by getting close to George's lawyer - Archie Leach.",http://ia.media-imdb.com/images/M/MV5BMjE5OTIzODI4Nl5BMl5BanBnXkFtZTcwNDg3NzYzNA@@._V1_SX300.jpg,R,5-Aug-88,108 min,A Fish Called Wanda,"Smartly written, smoothly directed, and solidly cast, A Fish Called Wanda offers a classic example of a brainy comedy with widespread appeal.",55,certified,93,8,59,4,85,3.4,180293,movie,"John Cleese (story), Charles Crichton (story), John Cleese",1988
A_Goofy_Movie,0,N/A,20-Jun-00,N/A,N/A,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin",5 nominations.,USA,Kevin Lima,"Animation, Adventure, Comedy",tt0113198,6.8,"30,470",English,N/A,"It's the last day of school, and Max wants to catch the eye of Roxanne, one of the more attractive girls in school. But how can you be cool when your dad's Goofy? Stage an impromptu concert at the final assembly, that's how! Or at least it sounded good until Principal Mazer found out. Goofy finds out about his son's antics (sort of), and decides a fishing trip, like his dad took him on, is the solution. Of course, he doesn't know that Max finally lands a date with Roxanne for a party thrown by the class valedictorian. Through the movie, Goofy tries to bring Max out of his shell, while Max resents being taken away, and lying to Roxanne about the trip (he tells her he & his dad will be appearing on TV at the PowerLine concert in LA). Will Max sink or swim? Will Goofy goof up his son's first shot at romance? Will Bigfoot step back? And what about those nuns?",http://ia.media-imdb.com/images/M/MV5BMTI0MjgzMjQ5Nl5BMl5BanBnXkFtZTcwNjg1NjMyMQ@@._V1_SX300.jpg,G,7-Apr-95,78 min,A Goofy Movie,N/A,8,rotten,53,5.6,15,7,70,3.1,357344,movie,"Jymn Magon (story), Jymn Magon (screenplay), Chris Matheson (screenplay), Brian Pimental (screenplay), Brian Pimental (story), Curtis Armstrong (additional written material), John Doolittle (additional written material)",1995
A_Million_Ways_to_Die_in_the_West,1,$42.6M,7-Oct-14,Universal Pictures,N/A,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson",6 nominations.,USA,Seth MacFarlane,"Comedy, Western",tt2557490,6.1,"106,745","English, Navajo, Mandarin",44,"Set in 1882 in the American west, Albert is a lowly farmer with a nice girlfriend. But when she leaves him for the more successful and handsome owner of a moustachery store, Albert returns to his lonely daily life of trying to avoid death. Then the mysterious Anna rides into town and captures Albert's interest and heart, but with her deadly husband in town, Albert is going to have to become the western gun-slinging hero he never was. It won't be easy because there are a million ways to die in the west.",http://ia.media-imdb.com/images/M/MV5BMTQ0NDcyNjg0MV5BMl5BanBnXkFtZTgwMzk4NTA4MTE@._V1_SX300.jpg,R,30-May-14,116 min,A Million Ways to Die in the West,"While it offers a few laughs and boasts a talented cast, Seth MacFarlane's overlong, aimless A Million Ways to Die in the West is a disappointingly scattershot affair.",62,rotten,33,4.9,188,126,41,3,61985,movie,"Seth MacFarlane, Alec Sulkin, Wellesley Wild",2014
A_Single_Man,1,$9.1M,6-Jul-10,The Weinstein Company,http://www.asingleman-movie.com/,"Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode",Nominated for 1 Oscar. Another 39 wins & 39 nominations.,USA,Tom Ford,Drama,tt1315981,7.6,"74,965","English, Spanish",77,"It's November 30, 1962. Native Brit George Falconer, an English professor at a Los Angeles area college, is finding it difficult to cope with life. Jim, his personal partner of sixteen years, died in a car accident eight months earlier when he was visiting with family. Jim's family were not going to tell George of the death or accident, let alone allow him to attend the funeral. This day, George has decided to get his affairs in order before he will commit suicide that evening. As he routinely and fastidiously prepares for the suicide and post suicide, George reminisces about his life with Jim. But George spends this day with various people, who see a man sadder than usual and who affect his own thoughts about what he is going to do. Those people include Carlos, a Spanish immigrant/aspiring actor/gigolo recently arrived in Los Angeles; Charley, his best friend who he knew from England, she who is a drama queen of a woman who romantically desires her best friend despite his sexual orientation; and Kenny Potter, one of his students, who seems to be curious about his professor beyond English class.",http://ia.media-imdb.com/images/M/MV5BMzU5MTk4MjQ2M15BMl5BanBnXkFtZTcwNDU0MzEwMw@@._V1_SX300.jpg,R,17-Dec-09,99 min,A Single Man,"Though the costumes are beautiful and the art direction impeccable, what stands out most from this debut by fashion designer Tom Ford is the leading performance by Colin Firth.",152,certified,85,7.3,178,26,81,3.8,56589,movie,"Christopher Isherwood (novel), Tom Ford (written for the screen by), David Scearce (written for the screen by)",2009
American_Gangster,1,$130.1M,19-Feb-08,Universal Pictures,http://www.americangangster.net,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",Nominated for 2 Oscars. Another 12 wins & 31 nominations.,"USA, UK",Ridley Scott,"Biography, Crime, Drama",tt0765429,7.8,"299,333",English,76,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. As a result, his product is superior to what is currently available on the street and his prices are lower. His alliance with the New York Mafia ensures his position. It is also the story of a dedicated and honest policeman, Richie Roberts, who heads up a joint narcotics task force with the Federal government. Based on a true story.",http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX300.jpg,R,2-Nov-07,157 min,American Gangster,"American Gangster is a gritty and entertaining throwback to classic gangster films, with its lead performers firing on all cylinders.",167,certified,80,7,209,42,87,4,960871,movie,"Steven Zaillian, Mark Jacobson (article)",2007
American_Pie,1,N/A,21-Dec-99,Universal Pictures,http://www.universalpictures.com/americanpie,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan",9 wins & 14 nominations.,USA,"Paul Weitz, Chris Weitz","Comedy, Romance",tt0163651,7,"287,038",English,58,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always end up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? or will they learn something much different.",http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,R,9-Jul-99,95 min,American Pie,"So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre.",75,fresh,61,5.8,123,48,60,3.4,33778696,movie,Adam Herz,1999
Andaz_Apna_Apna,1,N/A,4-Jun-09,N/A,N/A,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",4 nominations.,India,Rajkumar Santoshi,"Comedy, Family, Romance",tt0109117,8.8,"22,455",Hindi,N/A,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family.",http://ia.media-imdb.com/images/M/MV5BMTM2MjM1MTgyMV5BMl5BanBnXkFtZTcwNTMzMzUyMQ@@._V1_SX300.jpg,PG,4-Nov-94,160 min,Andaz Apna Apna,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,4.5,8504,movie,"Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story), Dilip Shukla (dialogue)",1994
Anna_Karenina,1,$12.8M,19-Feb-13,Focus Features,http://focusfeatures.com/anna_karenina,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey",Won 1 Oscar. Another 25 wins & 47 nominations.,UK,Joe Wright,"Drama, Romance",tt1781769,6.6,"59,817",English,63,"In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate.",http://ia.media-imdb.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,R,7-Sep-12,129 min,Anna Karenina,"Joe Wright's energetic adaptation of Tolstoy's classic romance is a bold, visually stylized work -- for both better and worse.",111,fresh,63,6.5,177,66,50,3.2,51551,movie,"Tom Stoppard (screenplay), Leo Tolstoy (novel)",2012
Babar__The_Movie,0,N/A,20-Jan-04,Cannon Home Video,N/A,"Gordon Pinsent, Elizabeth Hanna, Lisa Jai, Marsha Moreau",3 nominations.,"Canada, France",Alan Bunce,"Animation, Adventure, Family",tt0096869,6.2,627,"English, French",N/A,"In his spectacular film debut, young Babar, King of the Elephants, must save his homeland from certain destruction by Rataxes and his band of invading rhinos.",http://ia.media-imdb.com/images/M/MV5BMTgzMzczODgxNV5BMl5BanBnXkFtZTcwMTM0MTUyMQ@@._V1_SX300.jpg,G,28-Jul-89,70 min,Babar: The Movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,3,6083,movie,"Jean de Brunhoff (characters), Laurent de Brunhoff (characters), Patrick Loubert (story), Peter Sauder (story), Michael Hirsh (story), Peter Sauder (screenplay), J.D. Smith (screenplay), John de Klein (screenplay), Raymond Jafelice (screenplay), Alan Bunce (screenplay)",1989
Bhoothnath_Returns,0,N/A,N/A,B4U US,N/A,"Amitabh Bachchan, Boman Irani, Parth Bhalerao, Sanjay Mishra",N/A,India,Nitesh Tiwari,"Comedy, Drama, Fantasy",tt3531852,7,"2,755",Hindi,N/A,"Bhoothnath Returns takes Bhoothnath's story forward. As he returns to 'Bhoot World' he is greeted with taunts and condemnation from other ghosts for bringing disrepute to the ghost-community for getting bullied by a kid on Earth. Post the humiliation, Bhoothnath decides to redeem himself and come back to scare a bunch of kids. Bhoothnath's search for kids brings him to Akhrot, a slum kid who is also the only person who can see him. Together they agree to help each other and their friendship sees them get involved in a cause that is bigger than they had ever imagined. To move ahead they will need to take on one of the country's most powerful and corrupt politician Bhau. The Lok Sabha elections are nearing and Bhau's victory is a mere formality, or is it? In a world, where a common man is afraid of politics, will a common man's ghost overcome his fear to stand up for what's right and fight against injustice? Bhoothnath Returns is an entertaining tale of good against evil, weak against powerful, past against future.",http://ia.media-imdb.com/images/M/MV5BMzk1MTMyMjAxMV5BMl5BanBnXkFtZTgwMDA1Mzc0MTE@._V1_SX300.jpg,N/A,11-Apr-14,155 min,Bhoothnath Returns,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,3.1,130,movie,"Piyush Gupta, Shreyas Jain (additional script writer), Nikhil Mehrotra (additional script writer), Nitesh Tiwari",2014
